DATE,OPEN,CLOSE,HIGH,LOW,VOLUME
04-APR-2022,112.3,113.9,114.3,112.3,3761454
01-APR-2022,107.9,111.9,112.3,107.8,3329503
31-MAR-2022,108.4,107.65,108.75,107.2,1902433
30-MAR-2022,108.3,108.4,109.95,108.05,3220606
29-MAR-2022,107.95,107.35,108.8,106.75,3053226
28-MAR-2022,109.0,107.25,109.25,105.4,4004994
25-MAR-2022,110.5,109.2,111.45,109.0,2678852
24-MAR-2022,108.8,109.95,112.4,108.25,4828323
23-MAR-2022,109.0,109.4,110.7,108.6,2494590
22-MAR-2022,107.2,108.95,110.0,106.4,2884197
21-MAR-2022,110.7,107.8,110.7,107.45,2695208
17-MAR-2022,110.0,109.85,110.85,108.0,4259155
16-MAR-2022,106.0,108.55,110.5,105.2,6827647
15-MAR-2022,104.85,104.7,105.95,103.7,3913921
14-MAR-2022,104.05,103.95,104.5,101.95,3065321
11-MAR-2022,103.5,103.45,104.45,103.0,2084612
10-MAR-2022,105.3,103.8,106.55,103.1,3703566
09-MAR-2022,101.5,102.65,103.35,100.3,3296331
08-MAR-2022,99.1,100.1,101.5,97.35,4320503
07-MAR-2022,99.05,98.6,100.75,96.85,5363013
04-MAR-2022,102.65,103.2,104.2,100.3,5310798
03-MAR-2022,106.7,103.2,106.75,101.8,3208809
02-MAR-2022,104.3,104.85,106.25,103.3,3371279
28-FEB-2022,103.9,105.55,106.25,101.2,3422266
25-FEB-2022,103.5,104.1,108.4,102.55,11538534
24-FEB-2022,102.25,99.3,107.1,98.55,7384232
23-FEB-2022,108.9,108.1,109.8,107.4,2906398
22-FEB-2022,105.5,108.0,108.75,103.0,3953858
21-FEB-2022,111.0,107.6,112.9,107.0,4859231
18-FEB-2022,113.3,112.35,114.1,111.85,2031261
17-FEB-2022,115.75,113.3,116.2,112.9,2988379
16-FEB-2022,115.45,115.25,117.5,114.75,3701363
15-FEB-2022,112.85,114.5,115.85,109.0,4074190
14-FEB-2022,115.4,111.2,115.4,110.0,3280441
11-FEB-2022,119.65,117.1,120.65,116.55,2922439
10-FEB-2022,119.7,120.45,121.85,118.3,3037306
09-FEB-2022,119.5,119.1,120.7,118.0,4337200
08-FEB-2022,120.5,118.65,121.65,117.1,3018779
07-FEB-2022,123.8,120.35,124.75,119.45,3502998
04-FEB-2022,127.05,123.65,129.3,123.3,9373250
03-FEB-2022,126.4,124.7,127.25,124.2,3695103
02-FEB-2022,122.7,126.25,126.8,122.0,9367192
01-FEB-2022,119.4,122.3,122.5,119.1,10521066
31-JAN-2022,119.9,117.65,120.5,116.55,3211162
28-JAN-2022,118.95,118.2,121.8,117.75,4093078
27-JAN-2022,117.0,116.95,118.4,113.0,8683931
25-JAN-2022,114.5,117.7,118.4,111.8,3656617
