DATE,OPEN,CLOSE,HIGH,LOW,VOLUME
04-APR-2022,344.2,346.45,348.0,341.75,1627838
01-APR-2022,339.0,341.9,343.0,335.4,2395845
31-MAR-2022,343.0,335.6,343.9,334.45,2009138
30-MAR-2022,345.85,341.55,347.6,340.0,2474161
29-MAR-2022,347.1,343.45,349.25,342.0,1145170
28-MAR-2022,349.95,345.7,351.9,339.55,3149400
25-MAR-2022,343.55,348.9,350.9,342.0,4089702
24-MAR-2022,337.0,342.3,343.25,335.2,1779377
23-MAR-2022,336.0,337.2,341.9,335.7,2868421
22-MAR-2022,331.0,334.7,335.65,328.7,1558965
21-MAR-2022,332.0,329.8,335.6,328.8,1872846
17-MAR-2022,332.0,331.45,332.7,330.0,3561872
16-MAR-2022,330.6,329.2,330.85,327.5,1461561
15-MAR-2022,331.25,327.45,336.95,325.7,4762960
14-MAR-2022,331.95,328.7,334.3,324.65,2757846
11-MAR-2022,333.0,331.95,335.25,328.0,4955659
10-MAR-2022,344.0,333.2,344.0,331.5,5133631
09-MAR-2022,337.85,337.8,339.2,332.65,3009188
08-MAR-2022,330.0,334.45,338.5,325.0,6020844
07-MAR-2022,326.0,330.0,332.0,319.1,3343221
04-MAR-2022,340.0,328.2,340.95,327.0,4510173
03-MAR-2022,350.45,340.05,351.5,337.6,5683175
02-MAR-2022,350.0,344.85,353.45,343.05,13122596
28-FEB-2022,394.9,348.85,394.9,347.0,15809887
25-FEB-2022,379.7,394.55,395.8,378.4,1945989
24-FEB-2022,389.0,374.15,394.85,372.9,2949622
23-FEB-2022,384.1,395.45,397.15,383.45,2297257
22-FEB-2022,380.95,384.3,385.5,377.25,1727260
21-FEB-2022,390.4,387.5,392.2,385.0,1125934
18-FEB-2022,394.95,392.7,397.2,387.65,1428851
17-FEB-2022,403.0,395.7,405.75,393.3,1131202
16-FEB-2022,404.0,401.85,406.85,400.25,1075794
15-FEB-2022,393.55,403.9,404.85,392.6,1702145
14-FEB-2022,395.0,393.55,402.75,392.0,1638123
11-FEB-2022,400.0,402.9,404.6,394.7,2008633
