DATE,OPEN,CLOSE,HIGH,LOW,VOLUME
04-APR-2022,4340.0,4317.15,4340.0,4270.0,259774
01-APR-2022,4295.0,4279.45,4334.65,4263.0,313871
31-MAR-2022,4353.0,4295.45,4387.5,4280.1,611719
30-MAR-2022,4352.8,4354.4,4366.5,4284.1,616826
29-MAR-2022,4294.0,4323.55,4355.55,4247.05,421084
28-MAR-2022,4359.8,4285.45,4362.95,4239.15,496907
25-MAR-2022,4327.0,4361.45,4375.0,4290.0,864397
24-MAR-2022,4113.0,4328.5,4348.55,4101.45,1738147
23-MAR-2022,4040.0,4127.3,4188.95,4040.0,1044114
22-MAR-2022,4021.0,4030.35,4056.95,3970.0,1290222
21-MAR-2022,4074.0,4004.95,4082.95,3996.75,401639
17-MAR-2022,3965.1,4042.15,4050.0,3946.2,772587
16-MAR-2022,3974.0,3943.8,3974.0,3890.0,358776
15-MAR-2022,3958.0,3899.85,3999.0,3880.0,471294
14-MAR-2022,3961.0,3957.3,3994.65,3925.0,570058
11-MAR-2022,3893.0,3975.6,3996.0,3873.0,1113263
10-MAR-2022,3975.0,3892.5,3986.5,3875.55,712099
09-MAR-2022,3901.5,3930.45,3981.3,3882.2,809369
08-MAR-2022,3750.0,3868.55,3886.95,3737.85,784169
07-MAR-2022,3749.0,3769.4,3791.95,3668.0,603086
04-MAR-2022,3710.0,3828.65,3873.95,3654.0,1208050
03-MAR-2022,3879.0,3718.85,3894.25,3700.0,1334725
02-MAR-2022,4061.35,3853.15,4063.4,3825.0,1540635
28-FEB-2022,4150.0,4063.4,4150.0,4052.5,982850
25-FEB-2022,4114.0,4176.6,4201.0,4102.1,305433
24-FEB-2022,4050.0,4092.5,4149.0,4049.95,697127
23-FEB-2022,4260.0,4200.95,4260.65,4190.85,371484
22-FEB-2022,4189.95,4218.5,4235.6,4155.7,480840
21-FEB-2022,4376.0,4298.25,4416.65,4282.6,587951
18-FEB-2022,4280.0,4321.15,4343.0,4264.6,358108
17-FEB-2022,4322.9,4301.0,4335.25,4293.2,229031
16-FEB-2022,4278.0,4316.45,4372.8,4243.55,380613
15-FEB-2022,4234.0,4277.55,4294.45,4188.6,358011
14-FEB-2022,4250.0,4204.6,4266.6,4166.75,449386
11-FEB-2022,4311.0,4325.4,4349.55,4280.15,337538
10-FEB-2022,4385.0,4370.7,4388.75,4333.7,237865
09-FEB-2022,4322.2,4368.75,4395.0,4311.5,198880
08-FEB-2022,4309.0,4321.95,4379.35,4280.05,396403
07-FEB-2022,4320.0,4309.2,4350.0,4250.05,255958
04-FEB-2022,4404.55,4351.95,4406.5,4337.0,246993
03-FEB-2022,4418.0,4374.65,4436.95,4360.0,221537
02-FEB-2022,4325.0,4415.35,4429.75,4315.1,305001
01-FEB-2022,4320.0,4309.45,4326.4,4258.0,371663
31-JAN-2022,4249.95,4302.8,4368.6,4240.05,618555
28-JAN-2022,4248.8,4218.6,4380.0,4175.45,1302984
27-JAN-2022,4340.0,4256.35,4365.15,4232.0,705506
25-JAN-2022,4364.35,4402.85,4418.95,4301.0,340902
24-JAN-2022,4486.1,4364.35,4489.8,4311.0,556498
21-JAN-2022,4561.25,4496.15,4570.0,4435.0,557548
20-JAN-2022,4712.0,4591.55,4712.0,4570.0,317739
19-JAN-2022,4695.0,4684.95,4734.4,4654.95,307887
18-JAN-2022,4670.0,4693.55,4724.45,4621.0,424528
17-JAN-2022,4665.5,4672.4,4699.95,4605.5,538649
14-JAN-2022,4720.2,4689.2,4723.0,4660.55,318860
13-JAN-2022,4700.0,4725.95,4759.6,4684.6,454051
12-JAN-2022,4680.0,4693.4,4703.3,4634.0,237769
11-JAN-2022,4710.0,4669.25,4739.9,4660.55,309432
10-JAN-2022,4728.4,4699.05,4728.4,4655.15,315019
07-JAN-2022,4769.45,4708.4,4769.45,4690.0,267123
