DATE,OPEN,CLOSE,HIGH,LOW,VOLUME
04-APR-2022,261.45,273.95,275.0,259.7,2916937
01-APR-2022,259.8,258.45,267.6,255.9,952946
31-MAR-2022,261.0,259.05,263.15,256.35,663686
30-MAR-2022,256.7,258.95,259.9,251.0,757193
29-MAR-2022,259.9,253.1,261.8,252.35,599305
28-MAR-2022,265.0,258.45,265.0,257.05,578795
25-MAR-2022,272.0,263.85,273.25,261.55,487765
24-MAR-2022,268.8,270.85,274.4,268.0,1039743
23-MAR-2022,267.5,269.9,272.0,266.85,578024
22-MAR-2022,272.0,268.3,272.6,262.55,888877
21-MAR-2022,263.5,269.55,274.4,261.2,1330702
17-MAR-2022,263.5,260.65,264.55,257.1,1779062
16-MAR-2022,260.15,262.5,264.6,253.35,2107127
15-MAR-2022,267.9,259.3,268.45,257.0,689486
14-MAR-2022,268.05,265.6,270.35,263.5,548114
11-MAR-2022,267.8,267.55,269.0,265.15,620728
10-MAR-2022,277.0,268.1,277.0,265.65,951621
09-MAR-2022,271.0,269.45,271.65,261.1,1857629
08-MAR-2022,263.05,268.3,274.65,260.7,2355605
07-MAR-2022,272.5,264.35,276.0,261.0,1209967
04-MAR-2022,278.0,280.6,285.55,267.85,915282
03-MAR-2022,285.0,275.6,286.45,273.75,662878
02-MAR-2022,288.0,280.3,292.35,277.2,1136152
28-FEB-2022,277.5,289.5,294.0,274.7,1667359
25-FEB-2022,273.8,279.2,282.5,272.5,806506
24-FEB-2022,283.0,269.65,287.0,265.35,761357
23-FEB-2022,282.3,290.65,296.75,281.65,3042949
22-FEB-2022,280.0,278.65,284.4,271.75,1535688
21-FEB-2022,285.0,284.1,286.65,279.2,1134422
18-FEB-2022,287.1,287.85,291.85,285.65,274043
17-FEB-2022,294.9,288.5,296.7,287.1,444425
16-FEB-2022,297.0,292.0,299.25,289.95,701592
15-FEB-2022,291.55,294.25,295.4,278.25,694312
14-FEB-2022,294.0,286.5,297.75,283.35,862449
11-FEB-2022,294.95,297.6,305.8,292.85,1102480
10-FEB-2022,302.95,299.25,306.75,297.65,488662
09-FEB-2022,304.25,302.6,309.7,300.7,745023
08-FEB-2022,313.05,304.25,314.2,295.6,1272738
07-FEB-2022,317.85,314.8,325.4,309.2,857123
04-FEB-2022,317.6,318.7,323.5,315.1,661189
03-FEB-2022,316.35,317.7,328.0,315.05,3235979
02-FEB-2022,300.05,314.2,318.65,300.05,695368
01-FEB-2022,301.1,298.7,305.05,297.85,787538
31-JAN-2022,301.0,300.85,306.35,299.55,449300
28-JAN-2022,295.0,297.85,303.85,294.8,354432
27-JAN-2022,302.0,294.75,302.0,292.9,514529
25-JAN-2022,293.0,302.0,307.9,285.95,1570060
24-JAN-2022,313.0,296.45,313.0,294.3,886768
21-JAN-2022,312.95,312.95,318.9,309.15,602979
20-JAN-2022,318.65,314.35,319.8,312.6,231586
19-JAN-2022,314.05,318.65,324.9,309.5,1092535
18-JAN-2022,314.95,314.2,320.0,305.05,1035748
17-JAN-2022,312.95,315.6,320.0,311.5,359384
14-JAN-2022,316.15,313.25,324.0,305.05,1337192
13-JAN-2022,328.0,320.45,328.0,316.45,914344
12-JAN-2022,317.3,326.2,332.4,317.3,2577718
11-JAN-2022,316.6,317.3,321.6,314.05,649941
10-JAN-2022,314.6,317.0,320.8,313.0,793416
07-JAN-2022,301.5,314.6,316.0,301.5,1431966
06-JAN-2022,306.0,302.7,306.0,300.0,533248
05-JAN-2022,300.5,307.1,310.0,299.35,1072611
04-JAN-2022,300.4,299.8,302.7,296.25,441124
03-JAN-2022,295.15,299.0,302.0,294.2,282539
31-DEC-2021,292.0,295.15,296.9,290.8,256728
30-DEC-2021,294.6,292.65,295.7,290.0,258703
29-DEC-2021,296.0,294.3,296.8,292.6,184634
28-DEC-2021,293.3,295.3,296.45,290.3,858091
27-DEC-2021,290.05,291.8,293.0,286.65,442484
24-DEC-2021,298.5,292.7,298.6,292.05,514265
23-DEC-2021,294.85,297.1,302.5,294.85,652845
22-DEC-2021,296.0,294.85,298.65,292.0,1536795
21-DEC-2021,292.35,294.95,298.4,292.35,1080918
20-DEC-2021,294.1,290.9,297.3,282.4,1183843
17-DEC-2021,305.35,296.8,309.6,292.25,1101170
16-DEC-2021,309.05,305.35,310.85,303.35,1666607
15-DEC-2021,318.45,308.45,321.5,306.9,631351
14-DEC-2021,317.85,318.6,326.0,313.95,2058622
13-DEC-2021,317.0,317.2,320.0,311.4,792107
10-DEC-2021,306.0,313.9,315.65,305.45,936629
09-DEC-2021,306.75,307.2,308.85,302.0,363576
08-DEC-2021,305.45,304.7,308.0,303.8,188184
07-DEC-2021,302.8,304.15,307.35,300.9,411219
06-DEC-2021,312.0,299.95,312.0,299.1,711806
03-DEC-2021,305.25,309.85,318.4,304.05,2215556
02-DEC-2021,305.9,305.25,310.5,302.4,885744
01-DEC-2021,313.05,304.8,315.9,303.6,661497
30-NOV-2021,300.75,313.3,320.8,300.75,2466802
29-NOV-2021,301.0,300.75,302.9,292.45,702918
