DATE,OPEN,CLOSE,HIGH,LOW,VOLUME
04-APR-2022,253.1,255.45,257.9,251.1,15907398
01-APR-2022,250.0,253.3,255.35,248.8,14305709
31-MAR-2022,249.6,250.65,254.35,249.5,25656796
30-MAR-2022,255.1,249.2,256.4,248.65,17603827
29-MAR-2022,257.05,254.6,257.5,253.75,18122714
28-MAR-2022,254.0,257.05,258.0,252.55,24916402
25-MAR-2022,255.3,253.35,255.75,249.25,29284643
24-MAR-2022,251.95,254.85,256.5,251.45,38239419
23-MAR-2022,251.45,252.0,253.7,248.5,40491633
22-MAR-2022,244.55,249.75,250.75,243.55,36945426
21-MAR-2022,245.9,244.5,247.75,243.8,27975134
17-MAR-2022,245.25,244.9,245.4,242.7,34223740
16-MAR-2022,240.0,242.6,243.0,239.1,21629521
15-MAR-2022,239.0,237.85,241.4,235.9,32998305
14-MAR-2022,236.25,239.0,239.45,235.3,35113638
11-MAR-2022,231.9,236.35,237.1,230.15,41699184
10-MAR-2022,231.0,232.0,232.5,227.85,36132245
09-MAR-2022,227.7,229.25,231.4,226.1,42294906
08-MAR-2022,223.9,226.9,228.45,223.75,36036336
07-MAR-2022,222.0,224.95,227.0,220.1,45258669
04-MAR-2022,217.7,225.5,227.4,217.0,66835736
03-MAR-2022,216.05,219.4,220.2,216.0,28532668
02-MAR-2022,214.4,215.3,216.6,212.45,19295994
28-FEB-2022,213.2,215.85,216.45,210.8,20034633
25-FEB-2022,211.5,213.95,216.5,210.55,23633656
24-FEB-2022,210.0,208.5,213.3,207.0,41341523
23-FEB-2022,216.8,215.95,217.5,215.05,11014283
22-FEB-2022,215.0,214.85,216.9,213.0,25749340
21-FEB-2022,220.3,218.0,221.3,217.15,16129017
18-FEB-2022,222.65,221.9,223.45,221.5,8670947
17-FEB-2022,223.05,222.65,224.35,220.85,14024149
16-FEB-2022,223.8,222.75,224.7,221.85,11231596
15-FEB-2022,221.0,223.0,223.5,218.55,12875311
14-FEB-2022,226.0,219.45,226.0,218.5,22745228
11-FEB-2022,232.0,232.45,233.3,229.8,18096561
10-FEB-2022,228.7,232.25,233.4,227.75,19563580
09-FEB-2022,232.3,230.15,233.0,228.75,11893807
08-FEB-2022,230.3,231.25,232.3,229.05,16201280
07-FEB-2022,234.0,230.2,234.75,228.5,24171083
04-FEB-2022,237.25,234.3,238.5,231.55,56705951
03-FEB-2022,232.15,234.45,235.2,231.8,27845963
02-FEB-2022,230.0,232.15,233.3,229.0,41130638
01-FEB-2022,221.0,227.75,228.8,219.15,43207074
31-JAN-2022,218.5,220.2,220.75,217.1,15039006
28-JAN-2022,215.1,217.6,219.25,215.1,15276991
27-JAN-2022,211.25,214.6,215.5,211.1,23149684
25-JAN-2022,212.0,214.3,214.7,209.55,18322935
24-JAN-2022,217.05,211.8,217.75,210.9,17354942
21-JAN-2022,218.5,217.05,220.5,216.0,16586264
20-JAN-2022,220.55,218.75,222.15,218.0,17329896
19-JAN-2022,220.75,220.35,222.4,218.7,11473796
18-JAN-2022,224.6,220.75,227.3,220.3,14394097
17-JAN-2022,222.6,224.6,225.6,221.35,12318313
14-JAN-2022,223.95,222.6,224.8,222.3,10569725
13-JAN-2022,223.9,223.95,225.8,222.75,11501088
12-JAN-2022,222.5,222.75,223.65,221.6,13158894
11-JAN-2022,223.35,221.95,224.25,221.2,8020695
10-JAN-2022,219.9,223.3,224.7,218.9,15841299
07-JAN-2022,219.8,218.4,220.65,217.5,8855041
06-JAN-2022,219.0,218.7,220.4,218.2,8950589
05-JAN-2022,219.65,220.55,221.5,218.65,11230588
04-JAN-2022,219.5,220.25,221.7,219.05,9050253
03-JAN-2022,218.05,219.1,219.85,217.05,7765495
31-DEC-2021,216.9,218.05,218.8,216.15,7583815
30-DEC-2021,216.6,216.0,217.9,215.5,9741198
29-DEC-2021,220.0,216.75,220.3,216.3,11480954
28-DEC-2021,218.0,220.05,220.6,218.0,11568803
27-DEC-2021,218.4,217.55,218.45,215.65,8153106
24-DEC-2021,218.0,218.0,220.45,216.45,16581585
23-DEC-2021,213.9,217.3,218.45,213.2,22209720
22-DEC-2021,214.0,212.0,214.2,211.1,17239484
21-DEC-2021,214.0,212.5,215.45,211.05,19395604
20-DEC-2021,216.25,212.4,216.25,209.8,37340790
17-DEC-2021,222.8,217.95,222.85,216.75,29683982
16-DEC-2021,226.0,222.9,226.15,220.8,24199205
15-DEC-2021,230.0,224.05,232.2,223.4,34653042
14-DEC-2021,235.0,228.6,237.1,227.55,37508445
13-DEC-2021,238.0,234.6,238.75,234.15,22054342
10-DEC-2021,236.2,236.1,238.95,233.75,35162889
09-DEC-2021,223.0,235.4,236.45,223.0,38241864
08-DEC-2021,221.0,224.95,225.65,221.0,9861847
07-DEC-2021,218.9,220.65,221.95,218.1,8903842
06-DEC-2021,221.65,217.9,222.2,217.5,13138355
03-DEC-2021,225.0,221.65,226.2,221.35,13794647
02-DEC-2021,221.9,225.45,226.15,221.3,15904846
01-DEC-2021,222.0,221.9,223.3,220.6,12995800
30-NOV-2021,222.0,221.15,225.2,220.0,23503453
29-NOV-2021,222.0,221.5,223.65,220.2,22132952
26-NOV-2021,228.9,224.0,230.05,223.1,27027022
25-NOV-2021,227.0,231.3,232.2,225.75,23904846
24-NOV-2021,232.45,227.7,232.7,226.95,14139854
23-NOV-2021,229.15,231.6,232.7,229.15,13433385
22-NOV-2021,237.9,230.9,240.75,229.55,22574227
18-NOV-2021,240.0,237.5,243.0,236.3,20226071
17-NOV-2021,236.0,239.5,245.25,235.65,46697822
16-NOV-2021,239.05,235.45,239.65,235.0,14675969
15-NOV-2021,233.95,238.1,239.0,233.1,38755267
12-NOV-2021,231.2,232.9,233.95,229.15,11855531
11-NOV-2021,230.4,230.0,231.5,228.55,8134962
10-NOV-2021,227.45,230.85,232.85,227.2,13431108
09-NOV-2021,229.85,228.75,230.9,227.85,11520817
08-NOV-2021,229.7,229.8,230.7,225.7,20270558
04-NOV-2021,224.85,226.55,227.3,224.0,7024796
03-NOV-2021,226.0,222.45,226.85,221.7,17843327
02-NOV-2021,228.0,225.6,229.25,224.5,14343859
01-NOV-2021,224.15,226.85,227.55,222.5,23197539
29-OCT-2021,225.0,223.2,228.25,222.3,26642108
28-OCT-2021,235.1,225.1,235.95,224.15,46282465
27-OCT-2021,240.25,238.45,241.3,236.2,25911499
26-OCT-2021,234.1,236.7,239.0,232.6,18934170
25-OCT-2021,234.1,233.4,236.65,230.5,22333919
22-OCT-2021,244.7,236.6,245.8,233.7,35537151
21-OCT-2021,248.0,244.7,248.35,243.1,22518727
20-OCT-2021,245.95,246.6,248.5,242.35,47822165
19-OCT-2021,261.4,245.95,262.55,245.05,59061766
18-OCT-2021,261.0,262.55,265.3,257.35,60292901
14-OCT-2021,253.25,256.55,261.85,250.35,85406902
13-OCT-2021,242.55,249.2,250.9,240.15,50159625
12-OCT-2021,238.6,241.3,243.0,238.0,29222028
11-OCT-2021,232.0,238.05,239.5,231.7,21184428
08-OCT-2021,234.75,231.7,234.8,231.2,9739240
07-OCT-2021,233.0,232.95,234.95,232.3,10371535
06-OCT-2021,234.8,231.25,236.4,230.6,17505160
05-OCT-2021,236.4,234.7,237.45,234.5,9223597
04-OCT-2021,236.0,236.6,238.35,235.4,10686552
01-OCT-2021,235.2,235.35,237.0,232.9,15956143
30-SEP-2021,239.9,236.15,240.4,235.25,16357902
29-SEP-2021,236.0,238.1,241.4,235.7,15450046
28-SEP-2021,239.85,237.75,241.6,236.3,15713947
27-SEP-2021,239.8,238.7,241.85,235.5,22890540
24-SEP-2021,244.0,238.45,244.0,237.7,24823291
23-SEP-2021,245.0,242.5,245.6,241.7,21791090
22-SEP-2021,243.5,243.5,245.8,240.7,52621868
21-SEP-2021,234.95,241.5,242.45,231.7,56671832
20-SEP-2021,231.0,233.75,239.35,230.25,70390969
17-SEP-2021,233.0,231.15,237.3,229.1,79501805
