DATE,OPEN,CLOSE,HIGH,LOW,VOLUME
04-APR-2022,4288.0,4315.7,4346.0,4251.25,464198
01-APR-2022,4302.9,4242.8,4334.0,4231.1,602041
31-MAR-2022,4425.0,4302.9,4457.75,4292.25,547471
30-MAR-2022,4291.55,4407.8,4478.75,4255.25,1358688
29-MAR-2022,4252.6,4250.95,4285.0,4219.15,440523
28-MAR-2022,4270.0,4232.75,4313.9,4177.1,399268
25-MAR-2022,4305.0,4281.35,4323.0,4247.0,711241
24-MAR-2022,4075.0,4277.5,4288.0,4075.0,1077491
23-MAR-2022,4052.0,4102.6,4128.95,4045.0,681813
22-MAR-2022,3956.0,4034.4,4045.0,3956.0,422680
21-MAR-2022,4036.9,3975.95,4044.95,3940.65,593894
17-MAR-2022,4020.0,3986.85,4079.0,3970.35,681280
16-MAR-2022,3960.1,3948.75,3962.35,3880.1,845286
15-MAR-2022,4160.0,3884.15,4160.0,3862.0,813173
14-MAR-2022,4061.0,4125.05,4153.0,4061.0,509679
11-MAR-2022,4058.8,4088.0,4100.0,3995.1,626688
10-MAR-2022,4200.0,4088.6,4220.0,4078.0,683436
09-MAR-2022,4011.0,4133.8,4151.6,4000.85,916944
08-MAR-2022,3874.85,3996.75,4016.0,3874.75,832829
07-MAR-2022,3800.45,3858.85,3889.9,3770.0,510090
04-MAR-2022,3900.0,3884.6,3963.6,3810.0,654585
03-MAR-2022,3950.0,3955.3,4020.0,3938.65,626544
02-MAR-2022,3870.0,3911.85,3934.9,3836.1,560643
28-FEB-2022,3743.9,3881.2,3895.0,3678.5,665332
25-FEB-2022,3658.0,3783.9,3795.0,3603.0,805773
24-FEB-2022,3685.0,3565.9,3705.65,3542.1,1036474
23-FEB-2022,3861.0,3801.8,3894.0,3780.75,517241
22-FEB-2022,3710.0,3821.35,3843.0,3705.0,627281
21-FEB-2022,3796.0,3847.95,3871.75,3715.0,562328
18-FEB-2022,3811.05,3797.0,3879.7,3786.0,378265
