DATE,OPEN,CLOSE,HIGH,LOW,VOLUME
04-APR-2022,340.95,347.05,350.45,339.5,534318
01-APR-2022,345.5,338.1,346.4,336.5,803560
31-MAR-2022,346.0,347.65,352.1,344.85,750389
30-MAR-2022,342.0,345.5,347.2,340.05,608032
29-MAR-2022,347.0,340.05,348.8,336.1,560035
28-MAR-2022,347.0,346.55,348.55,342.6,413004
25-MAR-2022,339.6,345.45,350.4,338.7,1045338
24-MAR-2022,336.55,337.8,340.6,336.0,603942
23-MAR-2022,336.0,336.0,344.4,335.0,695804
22-MAR-2022,333.7,334.8,338.6,330.1,332315
21-MAR-2022,339.0,336.8,344.15,334.55,704291
17-MAR-2022,340.0,337.95,341.5,333.4,827094
16-MAR-2022,318.5,335.7,341.55,317.15,1739474
15-MAR-2022,325.7,315.85,326.65,313.35,615030
14-MAR-2022,311.95,322.1,325.9,309.05,902657
11-MAR-2022,312.9,311.95,317.0,308.5,661661
10-MAR-2022,314.0,310.8,315.8,307.4,651202
09-MAR-2022,296.0,306.55,308.8,294.65,869903
08-MAR-2022,291.2,294.35,297.0,286.0,433336
07-MAR-2022,297.0,289.65,297.0,283.8,601352
04-MAR-2022,306.25,299.5,306.25,297.6,383034
03-MAR-2022,310.95,307.25,312.8,306.5,411642
02-MAR-2022,306.5,308.05,310.7,303.3,481251
28-FEB-2022,307.0,307.8,309.75,298.05,662482
25-FEB-2022,314.0,309.25,315.4,307.05,1100309
24-FEB-2022,300.45,310.35,317.5,299.95,1392369
23-FEB-2022,316.15,311.7,320.0,310.5,484379
22-FEB-2022,296.0,315.6,317.55,296.0,1042912
21-FEB-2022,313.0,303.95,313.75,302.05,449282
18-FEB-2022,317.7,313.35,319.9,312.0,402585
17-FEB-2022,322.9,320.45,324.6,316.0,477820
16-FEB-2022,327.1,321.45,329.25,318.2,528703
15-FEB-2022,319.7,325.9,327.75,312.5,626604
14-FEB-2022,321.0,318.0,322.8,315.05,861790
11-FEB-2022,331.0,330.75,332.85,325.65,398441
10-FEB-2022,335.0,333.2,335.0,328.2,496917
09-FEB-2022,328.9,332.65,333.75,326.0,518306
08-FEB-2022,332.45,328.55,332.45,323.15,681992
07-FEB-2022,345.05,331.8,345.05,330.2,385772
04-FEB-2022,343.6,346.25,347.35,340.6,496130
03-FEB-2022,350.2,346.8,351.35,342.35,520144
02-FEB-2022,346.1,350.2,351.65,346.0,330373
01-FEB-2022,348.0,345.25,352.5,338.4,443334
31-JAN-2022,337.0,343.5,345.0,335.1,462288
28-JAN-2022,323.6,336.25,339.55,322.15,1081047
27-JAN-2022,330.0,324.4,333.7,317.95,765961
25-JAN-2022,328.0,332.9,346.35,325.55,1433924
24-JAN-2022,358.0,333.65,358.0,331.3,666910
21-JAN-2022,360.0,358.35,362.25,355.0,499930
20-JAN-2022,362.0,360.25,365.75,355.15,584746
19-JAN-2022,354.7,360.25,361.35,350.55,456472
18-JAN-2022,370.1,355.1,370.1,353.05,307047
17-JAN-2022,370.25,367.4,372.55,367.05,259241
14-JAN-2022,368.5,368.9,375.55,365.55,878452
13-JAN-2022,371.0,368.95,374.85,366.45,865436
12-JAN-2022,370.05,370.4,371.9,365.0,620809
11-JAN-2022,364.4,369.85,371.65,360.2,1099730
10-JAN-2022,357.0,362.15,365.0,355.45,867006
07-JAN-2022,353.2,353.8,358.55,352.7,509948
06-JAN-2022,353.3,355.0,356.2,343.85,638487
05-JAN-2022,357.6,354.9,359.8,354.15,528171
04-JAN-2022,355.3,356.0,357.3,353.2,259568
03-JAN-2022,354.7,355.3,356.0,350.15,461338
31-DEC-2021,348.0,351.85,354.0,346.95,513646
30-DEC-2021,345.9,346.15,349.5,341.65,598283
29-DEC-2021,346.4,345.05,347.35,340.1,511119
28-DEC-2021,339.5,344.7,350.85,339.0,815001
27-DEC-2021,332.3,338.5,339.7,332.3,401338
24-DEC-2021,337.05,337.75,339.85,330.9,737599
23-DEC-2021,333.7,336.15,338.2,330.0,707866
22-DEC-2021,327.0,329.7,331.8,324.9,667774
21-DEC-2021,322.3,327.45,331.35,321.0,856357
20-DEC-2021,331.65,320.65,331.65,316.7,1846903
17-DEC-2021,345.2,335.3,346.5,333.3,1278244
16-DEC-2021,355.15,345.65,361.0,342.2,2199642
15-DEC-2021,361.4,355.15,362.15,354.1,753087
14-DEC-2021,366.35,359.7,366.35,358.25,945804
13-DEC-2021,374.0,366.35,374.0,364.55,566836
10-DEC-2021,374.9,370.85,376.75,369.15,702489
09-DEC-2021,374.0,372.95,383.55,369.05,1873007
08-DEC-2021,369.7,372.15,374.2,365.0,1124174
07-DEC-2021,364.95,364.95,367.0,362.4,917859
06-DEC-2021,369.0,363.2,372.0,361.1,1053135
03-DEC-2021,372.0,366.25,375.2,365.0,772506
02-DEC-2021,370.4,370.35,374.1,367.5,597004
01-DEC-2021,368.9,372.65,378.8,365.15,777897
30-NOV-2021,369.1,366.3,376.0,364.35,348497
29-NOV-2021,375.9,369.1,375.9,360.8,259434
26-NOV-2021,383.5,376.3,387.55,375.0,597531
25-NOV-2021,390.7,388.35,391.5,385.2,344458
24-NOV-2021,394.55,390.9,399.35,388.15,272202
23-NOV-2021,388.65,394.55,396.75,381.7,269216
22-NOV-2021,406.9,387.95,406.9,383.4,523851
18-NOV-2021,420.0,403.35,421.4,400.95,456060
17-NOV-2021,419.0,419.2,422.5,416.0,263950
16-NOV-2021,420.15,418.3,423.7,416.0,298883
15-NOV-2021,426.45,417.5,426.45,416.5,317413
12-NOV-2021,424.95,422.25,424.95,417.05,398907
11-NOV-2021,428.0,420.7,428.45,418.1,332792
10-NOV-2021,427.0,426.6,431.7,424.75,240269
09-NOV-2021,429.0,430.05,436.0,426.05,493004
08-NOV-2021,423.75,426.4,428.15,420.0,328004
04-NOV-2021,423.8,425.1,426.05,422.9,95607
03-NOV-2021,422.95,422.45,426.0,420.1,462496
02-NOV-2021,422.95,422.05,426.8,419.0,540335
01-NOV-2021,419.95,423.1,425.4,417.75,374409
29-OCT-2021,414.2,418.35,429.0,410.4,639366
28-OCT-2021,437.0,417.1,441.5,415.0,1341264
27-OCT-2021,437.95,435.1,442.3,426.6,1385616
26-OCT-2021,425.0,430.95,442.0,425.0,985787
25-OCT-2021,450.9,433.2,450.9,427.05,769813
22-OCT-2021,459.0,449.3,464.4,443.2,774493
21-OCT-2021,466.65,456.4,466.65,452.0,1388366
20-OCT-2021,458.8,461.05,470.7,445.4,1455498
19-OCT-2021,454.45,458.1,476.45,442.25,3137503
18-OCT-2021,451.1,451.7,464.0,446.55,1464039
14-OCT-2021,445.4,449.1,451.3,440.25,1162197
13-OCT-2021,451.4,441.65,453.85,440.1,436152
12-OCT-2021,447.0,449.55,453.5,437.0,2900148
11-OCT-2021,450.0,444.4,454.0,440.2,1012771
08-OCT-2021,445.3,447.3,459.0,444.9,1133070
07-OCT-2021,445.2,445.25,449.75,443.15,516379
06-OCT-2021,450.2,443.15,453.4,438.8,860760
05-OCT-2021,449.5,448.25,464.5,444.65,2337401
04-OCT-2021,441.0,448.6,451.0,434.65,1735065
01-OCT-2021,424.9,440.65,445.8,422.25,2107618
30-SEP-2021,430.0,425.35,434.2,423.65,954859
29-SEP-2021,425.0,431.6,434.0,421.55,614132
28-SEP-2021,435.8,431.45,439.55,429.0,1033921
27-SEP-2021,441.4,437.2,441.4,424.45,1237119
24-SEP-2021,448.5,437.45,448.75,430.65,1421046
23-SEP-2021,438.0,443.95,454.3,438.0,2364420
22-SEP-2021,433.3,435.2,437.85,429.55,498248
21-SEP-2021,430.6,429.55,434.25,420.05,1045547
20-SEP-2021,437.0,434.4,439.5,430.0,1153389
17-SEP-2021,442.05,439.6,445.1,427.8,1720375
16-SEP-2021,443.2,441.1,447.6,435.0,1128275
15-SEP-2021,439.0,441.25,446.35,430.55,1742079
14-SEP-2021,439.95,437.85,442.35,434.3,916597
13-SEP-2021,440.65,436.8,441.85,427.0,1694534
09-SEP-2021,439.9,440.25,450.6,436.4,5644611
08-SEP-2021,420.9,435.8,439.0,413.6,3205859
07-SEP-2021,421.5,420.0,424.85,415.45,719061
06-SEP-2021,422.5,421.3,433.55,419.85,2497387
03-SEP-2021,416.35,419.25,421.5,410.9,965590
02-SEP-2021,403.1,412.8,417.1,403.1,1135902
01-SEP-2021,424.0,406.7,424.55,405.15,2034555
31-AUG-2021,420.65,424.1,427.95,417.5,1367796
30-AUG-2021,412.9,420.65,424.4,407.2,2139940
27-AUG-2021,405.05,410.1,412.95,403.1,1040740
26-AUG-2021,405.3,407.8,417.3,403.55,2342375
25-AUG-2021,402.95,402.4,410.75,396.6,2356206
24-AUG-2021,390.0,399.65,402.35,387.0,1467041
23-AUG-2021,391.25,389.05,397.7,383.55,944656
20-AUG-2021,394.55,390.75,400.45,385.05,1030982
18-AUG-2021,399.9,396.9,409.5,393.2,3979381
17-AUG-2021,386.5,396.7,400.7,386.2,2252224
16-AUG-2021,382.55,386.2,389.95,380.4,1483423
13-AUG-2021,385.0,383.35,389.7,382.55,1479607
12-AUG-2021,383.0,384.3,387.1,382.05,890815
11-AUG-2021,389.0,382.1,391.2,374.1,969190
10-AUG-2021,392.7,387.55,395.0,381.6,1568368
09-AUG-2021,398.0,390.85,399.9,388.55,1096408
06-AUG-2021,403.45,397.6,404.35,396.05,821132
05-AUG-2021,412.95,401.95,413.0,398.65,1407506
04-AUG-2021,406.0,409.05,411.5,401.45,1612688
03-AUG-2021,402.3,404.35,406.0,398.0,1034088
02-AUG-2021,404.05,400.4,405.65,398.0,1153460
30-JUL-2021,400.75,399.1,406.35,396.9,1526596
29-JUL-2021,399.5,400.75,403.35,392.2,928318
28-JUL-2021,388.0,397.85,401.5,386.0,1739865
27-JUL-2021,401.0,389.65,403.0,386.7,1119637
26-JUL-2021,401.2,397.3,409.25,396.0,1234325
23-JUL-2021,400.0,401.75,414.05,398.75,2350609
22-JUL-2021,405.0,397.6,405.15,395.05,1150652
20-JUL-2021,406.8,397.9,422.7,394.8,4010617
19-JUL-2021,414.0,405.35,420.9,400.5,3060902
16-JUL-2021,398.3,418.6,439.35,397.2,13005295
15-JUL-2021,388.4,396.35,401.0,384.4,2713384
14-JUL-2021,378.9,386.2,391.9,378.85,1513555
13-JUL-2021,382.7,380.15,383.7,377.35,483270
12-JUL-2021,379.0,380.6,382.55,374.0,889233
09-JUL-2021,378.0,377.85,378.85,372.15,665927
08-JUL-2021,375.65,377.6,391.6,373.3,3776801
07-JUL-2021,371.45,375.65,377.0,368.0,756658
06-JUL-2021,376.8,371.45,381.4,370.1,1092811
05-JUL-2021,377.3,375.6,377.3,368.0,593616
02-JUL-2021,371.55,372.8,375.0,368.2,600705
01-JUL-2021,369.0,371.7,373.9,366.0,715152
30-JUN-2021,367.75,366.2,372.0,365.25,992389
29-JUN-2021,370.0,366.9,372.3,362.55,1049386
28-JUN-2021,362.2,368.15,371.5,361.0,1141826
25-JUN-2021,362.3,362.2,365.4,355.5,1100323
24-JUN-2021,359.5,358.95,360.9,352.95,907165
23-JUN-2021,359.0,358.6,361.0,353.0,853784
22-JUN-2021,359.0,357.95,362.65,356.6,1020293
21-JUN-2021,351.95,356.05,357.25,350.1,496004
18-JUN-2021,361.2,356.2,362.65,350.1,656121
17-JUN-2021,366.5,360.6,366.5,358.4,933350
16-JUN-2021,372.95,366.9,372.95,364.2,1178876
15-JUN-2021,371.85,372.1,374.3,369.5,564582
14-JUN-2021,372.0,371.5,372.9,362.95,719090
11-JUN-2021,379.75,372.0,380.0,370.05,1037342
10-JUN-2021,372.0,377.7,384.0,368.4,1848357
09-JUN-2021,378.2,372.75,384.15,369.0,1384607
08-JUN-2021,377.0,375.85,381.85,370.05,1028562
07-JUN-2021,371.1,377.0,385.5,368.85,2818782
04-JUN-2021,370.0,369.65,371.9,365.1,539384
03-JUN-2021,376.1,368.0,376.9,366.25,730311
02-JUN-2021,367.0,372.25,375.75,365.75,1328413
01-JUN-2021,373.55,367.5,376.0,363.65,1693418
31-MAY-2021,352.0,370.5,375.5,351.05,7127770
28-MAY-2021,351.0,348.65,351.95,344.3,784609
27-MAY-2021,350.9,347.85,350.9,346.15,345200
26-MAY-2021,348.95,349.5,351.45,347.7,269576
25-MAY-2021,353.8,348.6,355.5,347.2,863787
24-MAY-2021,354.0,351.6,354.0,347.05,592185
21-MAY-2021,352.45,350.9,356.35,350.0,600233
20-MAY-2021,352.3,349.65,356.8,348.0,497346
19-MAY-2021,349.3,351.75,357.5,348.15,768149
18-MAY-2021,348.0,349.6,353.75,347.5,526508
17-MAY-2021,341.85,346.4,350.0,341.45,378342
14-MAY-2021,343.05,341.65,348.0,337.25,387330
12-MAY-2021,350.7,344.9,351.7,343.5,373114
11-MAY-2021,345.55,349.3,351.75,343.0,331495
10-MAY-2021,353.25,350.4,355.35,347.15,453549
07-MAY-2021,347.3,350.75,354.0,345.7,1020836
06-MAY-2021,341.0,345.55,347.4,337.75,697298
05-MAY-2021,342.0,339.1,343.15,336.2,307449
04-MAY-2021,340.0,340.1,343.65,336.65,580635
03-MAY-2021,339.0,338.65,340.85,335.05,475036
30-APR-2021,339.8,341.7,345.5,338.7,470876
29-APR-2021,343.0,342.65,347.65,336.6,743153
28-APR-2021,345.9,341.4,350.0,335.15,1345473
27-APR-2021,331.95,340.65,343.6,329.25,816843
26-APR-2021,327.6,330.7,332.8,327.05,1342265
23-APR-2021,324.5,325.7,329.75,324.5,771352
22-APR-2021,327.5,325.65,328.75,324.8,784202
20-APR-2021,327.8,327.7,333.5,324.85,1002282
19-APR-2021,331.2,325.2,331.75,323.3,392247
16-APR-2021,332.25,337.2,339.15,332.2,1281299
15-APR-2021,332.0,332.7,336.7,324.9,1062923
13-APR-2021,325.2,329.15,332.0,323.0,530792
12-APR-2021,345.15,326.7,347.7,320.1,936372
09-APR-2021,360.95,352.65,360.95,349.45,904730
08-APR-2021,341.5,358.05,362.35,341.25,2817863
07-APR-2021,336.3,340.45,344.95,330.0,1021997
06-APR-2021,334.95,337.15,339.0,333.55,571979
05-APR-2021,342.0,335.55,343.1,330.2,534245
01-APR-2021,337.1,344.4,346.85,336.0,777441
31-MAR-2021,334.7,338.3,340.95,332.1,390740
30-MAR-2021,330.9,336.2,337.8,330.6,500186
26-MAR-2021,329.6,330.55,334.2,328.6,812398
25-MAR-2021,332.85,327.2,334.55,319.8,1076561
24-MAR-2021,336.7,335.05,336.9,331.5,592824
23-MAR-2021,336.65,339.8,341.45,334.45,965907
22-MAR-2021,327.5,336.05,336.7,327.2,1056084
19-MAR-2021,320.0,326.8,329.85,314.05,1051754
18-MAR-2021,334.5,323.1,338.35,320.15,735191
17-MAR-2021,334.0,333.65,341.4,330.1,865124
16-MAR-2021,339.0,334.15,339.0,332.4,740643
15-MAR-2021,345.4,340.15,345.5,332.3,807586
12-MAR-2021,354.9,346.6,357.6,343.0,797430
10-MAR-2021,352.05,353.4,359.3,345.45,890616
09-MAR-2021,355.0,349.9,360.7,348.2,535018
08-MAR-2021,354.0,354.0,364.8,348.15,759771
05-MAR-2021,359.95,352.85,365.0,347.4,836990
04-MAR-2021,358.7,361.25,368.0,354.35,1024328
03-MAR-2021,351.0,361.1,374.7,346.4,5179869
02-MAR-2021,347.0,345.65,356.95,340.2,1575544
01-MAR-2021,331.05,345.25,351.45,328.65,1030673
26-FEB-2021,335.0,329.8,343.8,326.55,1047731
25-FEB-2021,339.2,340.6,345.8,336.05,890993
24-FEB-2021,330.0,336.0,339.75,326.65,397581
23-FEB-2021,323.1,328.9,335.9,318.2,667920
22-FEB-2021,333.0,320.95,337.4,318.15,697998
19-FEB-2021,344.25,333.55,348.2,330.55,714382
18-FEB-2021,345.9,345.45,348.5,342.1,468044
17-FEB-2021,345.35,344.8,351.8,340.1,1022452
16-FEB-2021,339.5,345.2,348.0,332.95,738800
15-FEB-2021,327.0,339.35,344.0,323.7,1309176
12-FEB-2021,328.95,325.25,333.5,324.05,577074
11-FEB-2021,318.0,327.85,329.0,318.0,374611
10-FEB-2021,327.5,319.15,330.2,316.75,986960
09-FEB-2021,331.1,327.2,332.75,325.0,889435
08-FEB-2021,330.85,331.1,337.3,329.0,1425072
