DATE,OPEN,CLOSE,HIGH,LOW,VOLUME
04-APR-2022,693.55,681.75,697.0,681.0,155265
01-APR-2022,691.5,688.55,699.4,684.55,141298
31-MAR-2022,678.2,691.1,696.1,673.0,112436
30-MAR-2022,675.0,673.0,687.65,670.5,148083
29-MAR-2022,664.0,671.85,683.7,664.0,128505
28-MAR-2022,695.0,661.5,695.0,659.5,249575
25-MAR-2022,730.0,684.8,730.0,680.0,306140
24-MAR-2022,705.8,707.6,735.0,701.5,241328
23-MAR-2022,716.7,704.5,718.6,701.1,116264
22-MAR-2022,718.95,713.5,720.75,711.5,53034
21-MAR-2022,728.65,715.05,737.0,711.5,198723
17-MAR-2022,728.4,728.65,785.8,714.35,872802
16-MAR-2022,700.65,713.9,727.2,693.0,97013
15-MAR-2022,711.45,693.7,718.6,690.0,76439
14-MAR-2022,714.95,710.1,719.95,706.0,66013
11-MAR-2022,723.0,709.8,731.95,707.05,95403
10-MAR-2022,718.7,725.85,736.45,715.0,125880
09-MAR-2022,699.0,710.2,728.35,698.05,113631
08-MAR-2022,703.0,695.65,713.0,693.0,87368
07-MAR-2022,710.95,699.9,714.9,688.0,73628
04-MAR-2022,707.5,723.75,744.95,696.0,272431
03-MAR-2022,693.0,707.85,721.9,687.05,253018
02-MAR-2022,704.9,683.95,707.7,680.0,93825
28-FEB-2022,688.0,701.8,713.6,677.5,225741
25-FEB-2022,725.0,702.0,737.05,695.5,363389
24-FEB-2022,775.0,721.75,775.0,720.0,180748
23-FEB-2022,819.0,783.45,828.0,780.0,112731
22-FEB-2022,780.0,816.25,828.0,770.15,312857
21-FEB-2022,816.35,788.9,817.4,785.5,75533
18-FEB-2022,828.5,811.5,828.5,811.0,46147
17-FEB-2022,822.7,824.5,832.0,811.7,161871
16-FEB-2022,834.4,818.6,839.25,811.5,114180
15-FEB-2022,835.0,820.6,838.05,787.5,124663
14-FEB-2022,879.9,819.3,884.0,815.0,110516
11-FEB-2022,875.45,884.3,909.45,863.0,331246
10-FEB-2022,864.1,868.25,876.0,849.05,84971
09-FEB-2022,837.0,864.05,882.95,828.0,163923
08-FEB-2022,803.0,833.2,838.95,792.55,264757
