DATE,OPEN,CLOSE,HIGH,LOW,VOLUME
04-APR-2022,2794.95,2830.65,2838.0,2776.9,76191
01-APR-2022,2795.0,2786.7,2802.0,2765.2,92468
31-MAR-2022,2828.4,2791.95,2836.7,2772.4,195689
30-MAR-2022,2812.1,2828.35,2835.0,2767.0,130562
29-MAR-2022,2749.15,2809.9,2819.9,2727.5,265373
28-MAR-2022,2730.0,2728.3,2743.1,2685.6,201197
25-MAR-2022,2835.0,2743.15,2843.4,2733.3,189657
24-MAR-2022,2802.8,2828.4,2865.65,2792.65,148987
23-MAR-2022,2764.95,2831.1,2860.0,2764.95,408885
22-MAR-2022,2763.6,2762.2,2774.7,2705.7,192811
21-MAR-2022,2908.0,2763.6,2912.35,2731.6,277947
17-MAR-2022,2879.4,2874.6,2987.75,2850.0,432664
16-MAR-2022,2888.0,2850.0,2892.6,2830.05,98663
15-MAR-2022,2832.0,2870.6,2925.0,2832.0,203438
14-MAR-2022,2820.1,2829.0,2846.35,2787.25,68519
11-MAR-2022,2752.6,2823.25,2841.7,2752.55,96883
10-MAR-2022,2810.9,2769.2,2810.9,2754.7,79110
09-MAR-2022,2745.0,2774.6,2818.75,2680.0,96030
08-MAR-2022,2651.0,2745.0,2768.75,2651.0,126372
07-MAR-2022,2725.0,2698.55,2745.5,2661.0,130931
04-MAR-2022,2790.0,2740.5,2803.5,2729.1,115233
03-MAR-2022,2771.45,2800.85,2821.7,2763.3,125349
02-MAR-2022,2739.9,2772.15,2793.15,2727.8,110221
28-FEB-2022,2687.3,2749.9,2778.95,2679.7,246720
25-FEB-2022,2719.9,2705.7,2724.95,2662.65,84333
24-FEB-2022,2620.0,2669.0,2766.7,2620.0,413169
23-FEB-2022,2721.0,2738.15,2749.7,2710.1,142532
22-FEB-2022,2602.0,2700.4,2711.85,2585.65,359345
21-FEB-2022,2650.2,2654.9,2668.7,2615.1,87567
18-FEB-2022,2600.0,2663.95,2674.9,2570.45,173233
17-FEB-2022,2640.0,2592.45,2646.7,2582.05,179295
16-FEB-2022,2599.9,2626.95,2645.3,2591.9,134849
15-FEB-2022,2560.0,2592.9,2598.95,2545.2,82836
14-FEB-2022,2550.0,2551.2,2626.0,2530.05,208608
11-FEB-2022,2585.0,2590.6,2598.0,2561.0,60231
10-FEB-2022,2616.95,2597.15,2632.9,2576.25,261929
09-FEB-2022,2608.5,2601.15,2620.2,2572.0,250400
08-FEB-2022,2628.0,2600.3,2638.4,2580.1,357202
07-FEB-2022,2680.0,2614.35,2682.85,2590.25,158464
04-FEB-2022,2718.95,2682.9,2719.3,2668.0,176440
03-FEB-2022,2732.35,2707.35,2734.4,2692.0,108990
02-FEB-2022,2659.8,2738.55,2745.0,2656.0,205983
01-FEB-2022,2683.9,2678.65,2687.65,2652.0,224427
31-JAN-2022,2630.0,2671.45,2692.0,2615.0,567500
28-JAN-2022,2705.0,2657.65,2718.0,2620.3,815402
27-JAN-2022,2940.05,2683.5,2940.05,2635.8,2696248
25-JAN-2022,3090.0,3161.0,3187.8,3072.0,101255
24-JAN-2022,3159.7,3117.85,3174.7,3070.15,116797
21-JAN-2022,3190.3,3165.15,3219.75,3141.15,95976
20-JAN-2022,3175.0,3204.8,3228.0,3175.0,83652
19-JAN-2022,3178.0,3201.15,3225.55,3148.45,129845
18-JAN-2022,3198.0,3186.8,3233.75,3158.1,141011
17-JAN-2022,3172.0,3191.0,3209.9,3162.0,80963
14-JAN-2022,3189.0,3194.2,3208.75,3144.0,169729
13-JAN-2022,3185.25,3189.2,3218.0,3144.15,101421
12-JAN-2022,3140.0,3159.9,3174.5,3105.55,97274
11-JAN-2022,3154.35,3125.8,3174.2,3115.3,67044
10-JAN-2022,3145.0,3144.35,3169.0,3125.0,58345
07-JAN-2022,3163.0,3140.5,3190.0,3115.75,76370
06-JAN-2022,3190.0,3158.85,3238.85,3147.2,117890
05-JAN-2022,3223.0,3199.95,3248.5,3186.0,77081
04-JAN-2022,3272.5,3208.85,3272.5,3188.0,139846
03-JAN-2022,3278.5,3252.1,3295.95,3247.45,98348
31-DEC-2021,3182.8,3278.45,3298.5,3182.8,358118
30-DEC-2021,3182.35,3190.95,3238.0,3173.1,211882
29-DEC-2021,3142.4,3185.7,3225.0,3120.0,268441
28-DEC-2021,3145.5,3142.4,3177.7,3117.05,130389
27-DEC-2021,3046.25,3148.75,3160.2,3030.65,439659
24-DEC-2021,3180.0,3046.2,3199.0,3036.35,280601
23-DEC-2021,3088.85,3162.5,3180.0,3081.0,100449
22-DEC-2021,3080.0,3081.8,3095.7,3053.65,250422
21-DEC-2021,3055.0,3073.35,3136.6,3032.5,118278
20-DEC-2021,3060.1,3067.85,3084.8,3001.75,136571
17-DEC-2021,3099.5,3081.3,3112.0,3049.2,160595
16-DEC-2021,3114.5,3092.05,3138.0,3058.2,181767
15-DEC-2021,3120.55,3114.55,3164.0,3092.0,188339
14-DEC-2021,3075.0,3120.55,3166.1,3060.95,135929
13-DEC-2021,3095.0,3075.0,3125.45,3059.3,119230
10-DEC-2021,3082.5,3086.65,3128.65,3072.05,67678
09-DEC-2021,3130.0,3112.8,3151.85,3094.0,89457
08-DEC-2021,3099.0,3137.9,3147.6,3075.0,392496
07-DEC-2021,2940.5,3074.6,3107.0,2930.15,841172
06-DEC-2021,2981.8,2936.95,3014.95,2924.75,112379
03-DEC-2021,2972.0,2981.8,3022.95,2957.0,150753
02-DEC-2021,2976.1,2971.15,3005.85,2952.0,242805
01-DEC-2021,3035.0,2975.65,3035.0,2950.8,364444
30-NOV-2021,3036.1,3042.05,3110.0,2990.1,474966
29-NOV-2021,3100.0,3037.3,3248.8,3014.6,1195238
26-NOV-2021,2963.5,3036.1,3085.95,2931.3,526866
25-NOV-2021,2837.9,2990.55,3015.0,2817.55,1070021
24-NOV-2021,2825.0,2817.5,2855.7,2801.0,181642
23-NOV-2021,2753.8,2821.5,2832.9,2744.5,118889
22-NOV-2021,2791.3,2753.15,2806.0,2735.3,127850
18-NOV-2021,2838.0,2791.3,2839.4,2770.05,179956
17-NOV-2021,2789.05,2834.4,2842.3,2751.65,125980
16-NOV-2021,2794.65,2789.05,2840.0,2770.0,249852
15-NOV-2021,2815.8,2794.65,2815.8,2770.05,303181
12-NOV-2021,2834.6,2791.35,2840.0,2751.0,754595
11-NOV-2021,2825.95,2834.6,2898.8,2810.25,315774
10-NOV-2021,2830.0,2825.95,2834.7,2762.6,518105
09-NOV-2021,2902.0,2847.35,2915.0,2834.4,134575
08-NOV-2021,2829.35,2902.75,2913.0,2784.7,159535
04-NOV-2021,2815.0,2819.35,2828.1,2815.0,5187
03-NOV-2021,2831.0,2804.25,2844.5,2788.45,231376
02-NOV-2021,2889.5,2839.05,2899.0,2824.0,242634
01-NOV-2021,2875.0,2879.4,2890.0,2848.95,74742
29-OCT-2021,2803.35,2860.4,2890.0,2768.0,168887
28-OCT-2021,2821.5,2783.3,2849.0,2766.0,274092
27-OCT-2021,2928.95,2821.45,2958.95,2810.0,438648
26-OCT-2021,3114.0,2944.25,3114.8,2935.05,252759
25-OCT-2021,2984.95,3084.0,3149.95,2881.0,202556
22-OCT-2021,3022.55,2969.4,3057.35,2953.05,72499
21-OCT-2021,3012.05,3012.55,3029.1,2951.35,117058
20-OCT-2021,3095.25,2982.25,3095.25,2935.6,189888
19-OCT-2021,3120.0,3072.95,3145.85,3063.35,99484
18-OCT-2021,3140.0,3111.75,3140.0,3081.85,76368
14-OCT-2021,3135.0,3130.4,3180.0,3109.5,51346
13-OCT-2021,3128.55,3127.35,3160.1,3102.6,65625
12-OCT-2021,3166.9,3113.55,3195.8,3067.4,155550
11-OCT-2021,3085.0,3167.2,3203.0,3084.05,101490
08-OCT-2021,3081.2,3075.3,3112.0,3051.05,53696
07-OCT-2021,3067.0,3074.25,3110.0,3062.1,61332
06-OCT-2021,3129.9,3064.95,3141.5,3058.05,56256
05-OCT-2021,3129.55,3129.3,3149.0,3102.0,39335
04-OCT-2021,3080.5,3129.55,3162.0,3073.6,75577
01-OCT-2021,3075.0,3080.55,3114.7,3026.45,154865
30-SEP-2021,3144.0,3085.5,3250.2,3051.0,484547
29-SEP-2021,3107.8,3134.85,3185.05,3082.1,242772
28-SEP-2021,3096.2,3107.85,3116.45,3035.8,125147
27-SEP-2021,3114.0,3088.55,3123.8,3073.0,69048
24-SEP-2021,3111.0,3100.1,3134.5,3070.15,79887
23-SEP-2021,3099.3,3101.05,3116.95,3045.05,77637
22-SEP-2021,3047.5,3085.5,3099.9,3043.6,63049
21-SEP-2021,3047.5,3043.6,3090.0,3019.25,77270
20-SEP-2021,3097.2,3057.85,3119.45,3037.55,63781
17-SEP-2021,3121.95,3097.2,3155.0,3082.0,124770
16-SEP-2021,3125.0,3114.25,3165.0,3102.55,85400
15-SEP-2021,3139.8,3122.45,3139.9,3107.65,69058
14-SEP-2021,3129.0,3133.1,3143.95,3105.0,88648
13-SEP-2021,3098.0,3126.05,3136.8,3076.0,49785
09-SEP-2021,3085.0,3108.35,3115.15,3060.0,72201
08-SEP-2021,3104.0,3100.55,3111.0,3049.65,82154
07-SEP-2021,3144.8,3094.55,3146.1,3065.0,89092
06-SEP-2021,3195.0,3130.5,3199.0,3121.6,79109
03-SEP-2021,3151.6,3189.65,3226.9,3140.0,221589
02-SEP-2021,3170.0,3143.15,3187.9,3130.0,94069
01-SEP-2021,3107.0,3167.5,3180.0,3092.35,166202
31-AUG-2021,3089.2,3105.9,3157.9,3070.4,303454
30-AUG-2021,3055.0,3092.4,3129.8,3040.0,269592
27-AUG-2021,3060.0,3046.9,3086.8,3035.95,85375
26-AUG-2021,3054.0,3052.75,3087.05,3036.6,120644
25-AUG-2021,3063.0,3054.25,3073.8,3034.8,70285
24-AUG-2021,3069.0,3056.55,3091.5,3006.8,107024
23-AUG-2021,3046.0,3061.95,3070.95,3000.0,101868
20-AUG-2021,3052.0,3036.1,3105.0,2970.05,265107
18-AUG-2021,3010.75,3052.25,3067.95,3006.25,78854
17-AUG-2021,2958.0,3008.05,3042.15,2951.75,240714
16-AUG-2021,2973.0,2954.85,2988.85,2920.0,93978
13-AUG-2021,2911.0,2963.75,2975.0,2854.0,237801
12-AUG-2021,2915.0,2911.85,2942.15,2868.9,287152
11-AUG-2021,3029.0,2902.05,3046.6,2881.45,737709
10-AUG-2021,3083.0,3026.65,3103.15,2995.0,238315
09-AUG-2021,3119.0,3073.5,3119.0,3047.7,110093
06-AUG-2021,3066.0,3063.95,3073.0,3033.0,119110
05-AUG-2021,3082.95,3056.7,3086.5,3047.9,58410
04-AUG-2021,3128.0,3073.8,3131.3,3061.3,87418
03-AUG-2021,3079.5,3101.5,3124.95,3068.15,85118
02-AUG-2021,3088.0,3076.35,3105.0,3058.1,130297
30-JUL-2021,3046.2,3071.1,3105.75,3023.65,189894
29-JUL-2021,3100.0,3037.4,3101.35,3006.2,142879
28-JUL-2021,3024.9,3084.7,3106.8,2888.0,916364
27-JUL-2021,3096.3,3002.85,3144.0,2960.2,389562
26-JUL-2021,3045.0,3079.2,3109.0,3028.0,263353
23-JUL-2021,3012.0,3043.2,3069.0,2995.95,228574
22-JUL-2021,2982.35,3013.55,3017.9,2955.0,137567
20-JUL-2021,2960.0,2961.5,3013.8,2945.0,126619
19-JUL-2021,2985.0,2969.2,3003.5,2954.5,94987
16-JUL-2021,2991.0,2990.75,3032.0,2978.4,158918
15-JUL-2021,3015.0,3001.3,3046.55,2994.05,99451
14-JUL-2021,3005.0,3011.65,3028.2,2987.2,121400
13-JUL-2021,3030.0,3015.45,3085.6,2997.5,384241
12-JUL-2021,3017.0,3012.7,3029.9,2992.0,85161
09-JUL-2021,2944.5,3005.05,3014.0,2924.0,283378
08-JUL-2021,2949.1,2945.5,2977.5,2932.2,119434
07-JUL-2021,2929.9,2949.55,2955.9,2916.8,112436
06-JUL-2021,2941.0,2931.9,2947.1,2910.0,106631
05-JUL-2021,2982.1,2938.85,2982.1,2928.5,115033
02-JUL-2021,2935.0,2950.35,3035.0,2920.0,775949
01-JUL-2021,2908.0,2924.2,2932.0,2883.0,88011
30-JUN-2021,2926.8,2901.6,2933.85,2891.1,116754
29-JUN-2021,2933.0,2922.25,2948.75,2888.0,192105
28-JUN-2021,2895.0,2936.05,2980.0,2875.0,252977
25-JUN-2021,2886.5,2886.25,2907.55,2875.0,66296
24-JUN-2021,2908.0,2885.3,2922.35,2876.0,110967
23-JUN-2021,2930.0,2903.7,2940.7,2899.95,84925
22-JUN-2021,2926.25,2924.95,2952.85,2885.05,160414
21-JUN-2021,2865.0,2920.4,2938.0,2863.4,111420
18-JUN-2021,2959.9,2897.7,2959.9,2862.0,200557
17-JUN-2021,2874.1,2953.9,2960.75,2854.1,595837
16-JUN-2021,2939.9,2890.2,2949.0,2880.0,172861
15-JUN-2021,2989.4,2927.65,3009.5,2916.0,233622
14-JUN-2021,2875.0,2979.75,2996.0,2839.0,861814
11-JUN-2021,2859.6,2879.8,2913.3,2850.0,229916
10-JUN-2021,2810.0,2859.8,2876.0,2805.0,154358
09-JUN-2021,2829.0,2798.65,2899.0,2771.0,444850
08-JUN-2021,2819.1,2834.35,2846.4,2818.0,108764
07-JUN-2021,2820.0,2824.8,2837.35,2790.15,208895
04-JUN-2021,2788.0,2811.55,2819.9,2770.5,159634
03-JUN-2021,2804.05,2775.2,2821.4,2757.65,142496
02-JUN-2021,2796.0,2795.0,2822.0,2775.0,276579
01-JUN-2021,2754.0,2785.65,2793.0,2715.0,382614
31-MAY-2021,2717.7,2741.35,2750.0,2702.2,103596
28-MAY-2021,2735.0,2714.05,2735.0,2700.15,79925
27-MAY-2021,2715.8,2719.25,2734.95,2683.1,242132
26-MAY-2021,2733.7,2710.2,2750.2,2701.65,153851
25-MAY-2021,2724.0,2723.7,2729.8,2695.75,170536
24-MAY-2021,2722.15,2718.05,2735.9,2703.3,199808
21-MAY-2021,2751.0,2717.95,2764.45,2705.0,280190
20-MAY-2021,2770.0,2723.3,2795.0,2702.0,382417
